,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,LE_angle,RE_angle,Xbound,Ybound,frame_num,action
51,[        848       335.5],[        864       324.5],[      834.5       320.5],[      881.5      338.25],[        809       329.5],[        904       438.5],[        758      426.25],[        911       548.5],[      736.5       535.5],[        863      484.75],[        821       499.5],[        864         665],[        769         660],[      853.5         837],[      761.5         832],[        844         993],[        756       994.5],33.33641109477115,55.790945916270466,"[705.8125, 942.5625]","[264.4375, 1063.4375]",52,clap
52,[        848      334.75],[        864         324],[      834.5      320.25],[        881      338.25],[        809         329],[      904.5       437.5],[        758         426],[        918         548],[        735       535.5],[      866.5         485],[      815.5      492.25],[      864.5         664],[        769       659.5],[        854         836],[        762       831.5],[      844.5       992.5],[        756       994.5],32.29921717662025,49.89004051569142,"[705.46875, 946.71875]","[264.3125, 1063.3125]",53,clap
53,[      847.5         334],[        864      323.25],[      834.5      319.25],[        881         338],[        809       328.5],[        904         437],[        758       425.5],[        923         546],[        732       534.5],[        874      483.25],[        804         487],[      864.5         664],[        769       659.5],[      854.5         836],[        762         832],[      844.5       992.5],[        756         994],28.097451998759848,43.17009305278759,"[703.46875, 951.71875]","[263.65625, 1063.65625]",54,clap
54,[      847.5      333.25],[      863.5      322.75],[      834.5      318.75],[      880.5       337.5],[        809       328.5],[        904       436.5],[      758.5       424.5],[      927.5         545],[      730.5         533],[        880       482.5],[      800.5       481.5],[      864.5         663],[        769       658.5],[        854       834.5],[      761.5         831],[        845         992],[        756       993.5],25.013914649644235,39.187257377099996,"[702.203125, 953.828125]","[263.28125, 1063.28125]",55,clap
55,[      847.5      333.25],[      863.5      322.75],[        834       318.5],[      880.5      337.25],[        809      328.25],[      904.5       435.5],[      758.5       424.5],[        929       543.5],[        732       532.5],[        882      479.75],[      799.5      478.75],[        865       661.5],[      769.5       657.5],[      854.5       834.5],[        762       830.5],[        845       991.5],[        756         994],23.618343693890363,37.68350199650122,"[701.453125, 952.828125]","[263.1875, 1063.1875]",56,clap
56,[      847.5      334.25],[      863.5      323.25],[        834      319.25],[        881         337],[        809         328],[        905      435.25],[      758.5         424],[        929       541.5],[        734         531],[        879      478.25],[        803         476],[      865.5       660.5],[        770         656],[      854.5         833],[        762         829],[        845         991],[      756.5         993],25.598364858415874,38.54479096166636,"[702.0, 951.125]","[262.78125, 1062.78125]",57,clap
57,[        847      334.75],[      863.5      323.75],[      833.5      319.75],[      880.5      337.25],[      808.5         327],[        904      433.75],[      758.5         423],[        928       537.5],[      733.5         528],[        873         474],[      809.5         476],[      865.5       660.5],[      769.5         656],[      854.5       833.5],[        762         829],[      845.5       990.5],[        757       992.5],27.872340407211226,42.227157522404035,"[702.65625, 950.28125]","[261.28125, 1063.28125]",58,clap
58,[      846.5      334.75],[        863      323.75],[      833.5      319.25],[        880         337],[        808       326.5],[        904      433.25],[        759         422],[        928         534],[        733         524],[      865.5      473.75],[      821.5         482],[      865.5       660.5],[        770         656],[        855       832.5],[        762         828],[        846         990],[        757       991.5],32.651206012855496,50.31181625971849,"[704.875, 949.5]","[260.8125, 1062.8125]",59,clap
59,[      846.5       334.5],[        863      323.25],[        833      319.25],[        880       336.5],[        808      326.25],[      903.5       432.5],[      759.5         422],[        929       532.5],[        731       522.5],[        867      472.25],[      818.5      478.75],[        866         660],[      770.5       655.5],[      855.5       831.5],[      762.5       827.5],[        846         989],[      757.5         991],31.514577119739887,47.602562202499804,"[703.734375, 949.359375]","[261.5625, 1061.5625]",60,clap
60,[      846.5       333.5],[        863       322.5],[        833       318.5],[        880       336.5],[      808.5         326],[      903.5       432.5],[      759.5         421],[        931         532],[        729         523],[        870      468.75],[        806      471.75],[      865.5         659],[        770       654.5],[        855         831],[      762.5         827],[        846         989],[      757.5         991],28.5127280820265,39.70518673723416,"[701.984375, 951.734375]","[261.59375, 1061.59375]",61,clap
61,[      846.5       332.5],[      863.5      321.75],[      833.5      317.25],[      880.5         336],[      809.5       325.5],[      902.5       431.5],[      759.5       419.5],[      932.5         532],[        728         521],[        876      465.25],[      801.5      464.75],[      865.5         657],[        770       652.5],[        855         831],[      762.5       826.5],[        846         988],[      757.5       990.5],23.62521962250528,35.33148924160342,"[701.078125, 952.703125]","[260.25, 1062.25]",62,clap
62,[      847.5      331.75],[        864         321],[      834.5      316.25],[        881      335.75],[        810         325],[      902.5         431],[        760         419],[      931.5         532],[        729       519.5],[        880       463.5],[      798.5       460.5],[        866       656.5],[      770.5         652],[        855       830.5],[      762.5         826],[        846         987],[        757       990.5],20.916461532231523,32.52859609867749,"[700.34375, 951.96875]","[260.0, 1062.0]",63,clap
63,[      847.5       331.5],[      864.5       320.5],[      834.5      315.75],[        881         335],[        810       324.5],[        903      430.25],[        760      418.75],[        929       531.5],[        731         520],[        879         462],[        801         460],[        866         656],[        771         652],[      855.5       829.5],[      762.5         826],[        846         987],[      757.5         990],21.330348910714175,33.41594670781143,"[701.015625, 950.515625]","[259.78125, 1061.78125]",64,clap
64,[      847.5      331.25],[        864       320.5],[      834.5      315.75],[      881.5      335.25],[        810         324],[        903         430],[        760      418.25],[        926         530],[        732         519],[        872       459.5],[        808      462.75],[        866         657],[      770.5         652],[        855       829.5],[        763         826],[      846.5       986.5],[        758         990],24.497813718361193,37.962244376262944,"[702.453125, 947.703125]","[260.53125, 1060.53125]",65,clap
65,[      847.5      331.25],[        864      320.25],[      834.5      315.75],[      881.5       334.5],[      809.5       323.5],[      903.5      429.75],[        760         418],[      922.5       528.5],[      733.5         517],[        865         461],[        820      468.75],[        866       657.5],[        771         653],[        855         830],[      762.5         826],[      846.5       986.5],[        758         990],29.53517180005592,45.861634505194885,"[704.40625, 945.65625]","[260.09375, 1060.09375]",66,clap
66,[        847         331],[        864      320.25],[        834      315.75],[      881.5      334.25],[      809.5      323.25],[      903.5       430.5],[      760.5         418],[        919         531],[      734.5         518],[        865         463],[        821         471],[        866         658],[      770.5         653],[      855.5         830],[      762.5       826.5],[      846.5         986],[      758.5       989.5],29.686127972152963,46.90822357548367,"[706.28125, 943.28125]","[259.875, 1059.875]",67,clap
67,[        847      330.25],[      863.5      319.25],[        834         315],[      881.5      333.75],[      809.5      323.75],[        904       430.5],[      760.5      418.25],[      919.5         533],[        736       520.5],[      868.5         464],[      812.5         464],[        866         658],[      770.5         653],[        856       830.5],[        763         827],[      846.5         986],[      758.5       989.5],27.870145679274394,40.077292098460134,"[706.0, 944.0]","[259.65625, 1059.65625]",68,clap
